Date,San_Francisco1,Fresno2,Kern3,Ventura4,San_Francisco_population,Fresno_population,Kern_population,Ventura_population,,San_Francisco_percentage_with_COVID19,Fresno_percetage_with_Covid19,Kern_percentage_with_COVID19,Ventura_percentage_with_COVID19,counties,total_cases ,,%San_Francisco_to4,%Fresno_to4,%Kern_to4,%Ventura_to4
4/15/2020,987,222,462,350,"881,549",999101,"900,202",846006,,0.111962012,0.022219976,0.051321814,0.041370865,San_Francisco,2021,,48.8372093,10.98466106,22.85997031,17.31815933
4/16/2020,1013,251,533,365,,,,,,0.114911366,0.025122585,0.059208933,0.043143902,Fresno,2162,,46.85476411,11.60962072,24.65309898,16.88251619
4/17/2020,1019,265,565,384,,,,,,0.115591986,0.026523845,0.062763691,0.045389749,Kern,2233,,45.63367667,11.8674429,25.30228392,17.19659651
4/18/2020,1058,295,578,396,,,,,,0.120016017,0.029526544,0.064207811,0.046808179,Ventura,2327,,45.46626558,12.67726687,24.8388483,17.01761925
4/19/2020,1137,311,610,416,,,,,,0.128977516,0.031127984,0.067762569,0.049172228,,2474,,45.95796281,12.57073565,24.65642684,16.8148747
4/20/2020,1157,315,623,422,,,,,,0.131246249,0.031528344,0.069206689,0.049881443,,2517,,45.96742153,12.51489869,24.75168852,16.76599126
4/21/2020,1216,315,643,428,,,,,,0.137939014,0.031528344,0.071428413,0.050590658,,2602,,46.73328209,12.10607225,24.71176018,16.44888547
4/22/2020,1231,351,671,443,,,,,,0.139640565,0.035131583,0.074538826,0.052363695,,2696,,45.66023739,13.01928783,24.88872404,16.43175074
4/23/2020,1233,371,683,451,,,,,,0.139867438,0.037133383,0.07587186,0.053309315,,2738,,45.03287071,13.55003652,24.94521549,16.47187728
4/24/2020,1302,419,699,465,,,,,,0.147694569,0.041937702,0.077649239,0.054964149,,2885,,45.12998267,14.52339688,24.2287695,16.11785095
4/25/2020,1340,443,735,476,,,,,,0.152005164,0.044339862,0.081648341,0.056264376,,2994,,44.75617902,14.79625919,24.5490982,15.89846359
4/26/2020,1354,443,755,476,,,,,,0.153593277,0.044339862,0.083870065,0.056264376,,3028,,44.71598415,14.63011889,24.9339498,15.71994716
4/27/2020,1408,458,809,497,,,,,,0.159718859,0.045841211,0.089868718,0.058746628,,3172,,44.38839849,14.43883985,25.50441362,15.66834805
4/28/2020,1424,458,828,503,,,,,,0.161533846,0.045841211,0.091979356,0.059455843,,3213,,44.3199502,14.25459073,25.77030812,15.65515095
4/29/2020,1468,498,847,508,,,,,,0.16652506,0.04984481,0.094089993,0.060046855,,3321,,44.20355315,14.99548329,25.50436615,15.29659741
4/30/2020,1490,538,866,517,,,,,,0.169020667,0.05384841,0.096200631,0.061110678,,3411,,43.68220463,15.77250073,25.38844914,15.1568455
