UID,iso2,iso3,code3,Province_State,Country_Region,Lat,Long_,Combined_Key,FIPS,county,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020
84006001,US,USA,840,California,US,37.64629437,-121.8929271,"Alameda, California, US",6001,Alameda,888,964,1007,1063,1114,1164,1193,1241,1242,1352,1403,1439,1470,1500,1533,1568,1603,1636,1706,1749,1776,1809,1863,1917,1961,2023,2064,2101,2133,2178,2234,2367,2351,2392,2457,2522,2560,2609,2708,2760,2847,2874,2986,3049,3097,3195,3289,3390,3470,3515,3548,3641,3725,3805,3805,3945,3985,4033,4232,4216,4217,4320,4373,4481,4533,4638,4702,4924,4924,5007,5267,5275,5382,5493,5493,5670,5762,5964,6156,6384,6472,6556,6855,6855,6925,7245,7407,7485,7725,7731,7976,8321,8478,8627,8858,9110,9237,9256,9383,9643,9869,10214,10330,10330,10438,10633,10773,11131
84006003,US,USA,840,California,US,38.59678594,-119.8223594,"Alpine, California, US",6003,Alpine,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
84006005,US,USA,840,California,US,38.44583082,-120.65696,"Amador, California, US",6005,Amador,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,13,13,22,16,19,20,20,20,21,22,22,24,26,26,31,31,33,34,35,36,36,40,40,40,45,48,49,51,51,54,57,62,65,65,71,71,76,81,84,89,110
84006007,US,USA,840,California,US,39.66727762,-121.6005252,"Butte, California, US",6007,Butte,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,18,18,18,18,18,20,20,20,22,22,22,22,24,26,30,31,34,34,34,34,40,40,40,44,44,44,51,51,55,60,65,65,65,68,71,73,73,74,74,74,82,88,90,90,94,94,94,111,119,127,133,143,143,143,168,168,189,206,206,206,206,206,275,295,319,338,338,338,338,416,437,487,522,522,522,640,658,683,722,758,758,758,820,866,883,907
84006009,US,USA,840,California,US,38.20537103,-120.552913,"Calaveras, California, US",6009,Calaveras,9,9,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,15,15,15,15,15,15,16,19,19,19,19,19,21,25,25,26,26,26,26,26,26,28,28,28,28,29,29,29,32,32,32,32,32,40,53,53,53,53,53,61,61,61,67,67,67,67,75,75,75,87,87,87,87,94,94,94,99,99,99,99,99,108,108
84006011,US,USA,840,California,US,39.17881957,-122.2331726,"Colusa, California, US",6011,Colusa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,14,16,17,17,17,35,46,59,70,70,70,70,70,86,98,103,103,113,113,113,135,140,147,173,173,173,223,234,242,250,263,263,263,273,292,304,312
84006013,US,USA,840,California,US,37.91923498,-121.9289527,"Contra Costa, California, US",6013,Contra Costa,552,615,631,648,685,693,707,749,763,770,786,805,817,820,842,862,891,907,934,945,947,969,985,999,1014,1036,1048,1048,1066,1080,1089,1100,1121,1146,1155,1192,1209,1234,1259,1296,1321,1336,1353,1375,1384,1404,1426,1450,1468,1506,1513,1547,1577,1633,1668,1706,1774,1798,1829,1877,1921,1959,1983,2026,2071,2111,2148,2240,2294,2369,2454,2523,2576,2676,2688,2802,2971,3132,3248,3326,3432,3564,3662,3878,4092,4241,4357,4460,4605,4661,4852,5023,5140,5233,5378,5538,5606,5731,5931,6202,6425,6627,6770,6933,7073,7304,7714,7577
84006015,US,USA,840,California,US,41.74228275,-123.8974063,"Del Norte, California, US",6015,Del Norte,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,8,8,13,15,15,20,23,23,37,40,40,44,44,45,45,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,49,49,49,49,50,50,50,50,51,51,51,58,58,58,58,58,58,60,60,60,61,61,61,62,62,66,66,66,68,79,79,87,87,87,87,88,88,88
84006017,US,USA,840,California,US,38.77965956,-120.5233166,"El Dorado, California, US",6017,El Dorado,34,35,35,36,36,36,36,38,39,40,42,42,42,42,44,44,44,47,47,47,47,53,54,54,54,54,54,56,60,60,62,64,64,64,67,67,67,67,67,74,74,78,78,80,84,84,90,90,96,96,96,98,102,106,106,109,111,111,111,113,113,113,117,118,121,125,130,130,130,145,150,153,158,158,158,158,178,178,198,206,206,226,226,226,264,280,292,307,307,307,307,350,363,381,394,394,394,443,464,486,508,513,513,513,513,555,589,613
84006019,US,USA,840,California,US,36.75733899,-119.6466953,"Fresno, California, US",6019,Fresno,222,251,265,295,311,315,315,351,371,419,443,443,458,458,498,538,538,615,615,633,633,672,777,777,813,841,885,945,984,984,1074,1074,1156,1192,1192,1287,1338,1338,1372,1417,1448,1482,1482,1535,1658,1658,1714,1743,1743,1882,1914,1944,2014,2080,2122,2122,2216,2318,2395,2395,2547,2547,2706,2788,2788,3058,3187,3245,3245,3485,3672,3892,4053,4374,4474,4474,4811,4811,5289,5626,5626,5851,6110,6110,6924,7281,7627,7627,7906,8282,8282,8756,8941,9124,9565,9954,9954,10639,10970,11412,11756,12148,12564,12564,12564,13209,13336,14312
84006021,US,USA,840,California,US,39.59875897,-122.3938452,"Glenn, California, US",6021,Glenn,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,9,9,9,9,9,12,12,12,12,12,12,12,12,13,14,14,16,16,16,17,17,17,17,18,18,19,19,23,23,24,24,24,32,34,34,42,42,42,42,42,66,74,87,87,87,87,103,103,115,122,122,122,122,122,146,153,159,164,164,164,176,183,190,200,214,214,214,219,237,251,251,265,265,265,265,303,311,315
