date,cumulative_homeless_cases,total_homless_population_by_percentage ,total_population_by_percentage 
4/15/2020,119,1.216271464,0.111739433
4/16/2020,120,1.226492232,0.114682924
4/17/2020,123,1.257154538,0.115362191
4/18/2020,123,1.257154538,0.119777427
4/19/2020,126,1.287816844,0.12872111
4/20/2020,127,1.298037612,0.130985333
4/21/2020,128,1.308258381,0.137664793
4/22/2020,129,1.31847915,0.139362961
4/23/2020,129,1.31847915,0.139589383
4/24/2020,131,1.338920687,0.147400954
4/25/2020,131,1.338920687,0.151702979
4/26/2020,133,1.359362224,0.153287936
4/27/2020,136,1.39002453,0.159401339
4/28/2020,138,1.410466067,0.161212718
4/29/2020,141,1.441128373,0.16619401
4/30/2020,142,1.451349141,0.168684656
5/1/2020,143,1.46156991,0.169703557
5/2/2020,147,1.502452984,0.172420625
5/3/2020,147,1.502452984,0.174684848
5/4/2020,149,1.522894522,0.181364308
5/5/2020,150,1.53311529,0.183854954
5/6/2020,154,1.573998365,0.195628916
5/7/2020,154,1.573998365,0.198572407
5/8/2020,154,1.573998365,0.204459388
5/9/2020,154,1.573998365,0.209780314
5/10/2020,154,1.573998365,0.214082338
5/11/2020,155,1.584219133,0.21996932
5/12/2020,155,1.584219133,0.221214643
5/13/2020,155,1.584219133,0.2238185
5/14/2020,155,1.584219133,0.22574309
5/15/2020,155,1.584219133,0.226309146
5/16/2020,155,1.584219133,0.229365848
5/17/2020,156,1.594439902,0.232535761
5/18/2020,157,1.60466067,0.236724574
5/19/2020,158,1.614881439,0.241253021
5/20/2020,159,1.625102208,0.246687158
5/21/2020,159,1.625102208,0.247366425
5/22/2020,159,1.625102208,0.24883817
5/23/2020,159,1.625102208,0.262649934
5/24/2020,160,1.635322976,0.266046269
5/25/2020,160,1.635322976,0.267970859
5/26/2020,160,1.635322976,0.270121872
5/27/2020,161,1.645543745,0.271593617
5/28/2020,161,1.645543745,0.272612518
5/29/2020,163,1.665985282,0.275895642
6/1/2020,167,1.706868357,0.29299053
6/2/2020,167,1.706868357,0.290952729
6/3/2020,168,1.717089125,0.292877319
6/4/2020,170,1.737530662,0.295820809
6/5/2020,171,1.747751431,0.299330356
6/8/2020,173,1.768192968,0.310991107
6/9/2020,174,1.778413737,0.314613865
6/10/2020,174,1.778413737,0.316198821
6/11/2020,175,1.788634505,0.3180102
6/12/2020,175,1.788634505,0.321519747
6/15/2020,176,1.798855274,0.331482331
6/16/2020,176,1.798855274,0.334199399
6/17/2020,177,1.809076043,0.336350411
6/18/2020,178,1.819296811,0.337595734
6/19/2020,181,1.849959117,0.341897759
6/22/2020,187,1.911283729,0.346199784
6/23/2020,191,1.952166803,0.360577603
6/24/2020,191,1.952166803,0.364426784
6/25/2020,192,1.962387572,0.367823119
6/26/2020,192,1.962387572,0.373257255
6/29/2020,197,2.013491415,0.397597659
6/30/2020,198,2.023712183,0.403145007
7/1/2020,199,2.033932952,0.407899876
7/2/2020,200,2.04415372,0.412994379
7/3/2020,200,2.04415372,0.421032373
7/6/2020,205,2.095257563,0.42748541
7/7/2020,206,2.105478332,0.451939024
7/8/2020,208,2.125919869,0.455108937
7/9/2020,211,2.156582175,0.460882708
7/10/2020,211,2.156582175,0.469260335
7/13/2020,215,2.197465249,0.511940949
7/14/2020,219,2.238348324,0.519639309
7/15/2020,221,2.258789861,0.525299868
7/16/2020,223,2.279231398,0.531639694
7/17/2020,226,2.309893704,0.550206327
7/20/2020,233,2.381439084,0.58892455
7/21/2020,235,2.401880621,0.600585302
7/22/2020,238,2.432542927,0.60715155
7/23/2020,241,2.463205233,0.618019823
7/24/2020,241,2.463205233,0.629906997
7/27/2020,244,2.493867539,0.671568711
7/28/2020,246,2.514309076,0.681757717
7/29/2020,246,2.514309076,0.686625797
7/30/2020,246,2.514309076,0.701569673
7/31/2020,246,2.514309076,0.727155399
