Alameda,489095
Alpine,214
Amador,2386
Butte,18715
Calaveras,3682
Colusa,5491
Contra Costa,269887
Del Norte,3970
El Dorado,17799
Fresno,411436
Glenn,7654
Humboldt,11870
Imperial,399179
Inyo,2752
Kern,431127
Kings,164163
Lake,5446
Lassen,13823
Los Angeles,8086346
Madera,44463
Marin,157872
Mariposa,2110
Mendocino,7119
Merced,93667
Modoc,4
Mono,4693
Monterey,133605
Napa,26753
Nevada,9835
Orange,1229575
Placer,57497
Plumas,970
Riverside,1401230
Sacramento,306701
San Benito,19242
San Bernardino,1027124
San Diego,1166483
San_Francisco,321809
San Joaquin,313443
San Luis Obispo,55448
San Mateo,274236
Santa Barbara,245541
Santa Clara,421146
Santa Cruz,35802
Shasta,10183
Sierra,73
Siskiyou,2181
Solano,111200
Sonoma,96867
Stanislaus,224609
Sutter,18045
Tehama,5069
Trinity,154
Tulare,329893
Tuolumne,2993
Ventura,233321
Yolo,47924
Yuba,9483
