date,rooms,rooms_occupied,cumulative_population_cases,cumulative_homeless_cases,total_population_by_percentage,total_homless_population_by_percentage
4.15.2020,9388,3477,25389,119,0.064259681,0.078663124
4.16.2020,10471,3918,26686,120,0.067542394,0.079324158
4.17.2020,10974,4211,27677,123,0.07005062,0.081307262
4.18.2020,11030,4257,29157,123,0.073796507,0.081307262
4.19.2020,11119,4299,30511,126,0.077223488,0.083290366
4.20.2020,11122,4334,31431,127,0.079552012,0.083951401
4.21.2020,11197,4353,33250,128,0.085259428,0.084612435
4.22.2020,11653,4618,35480,129,0.089800051,0.08527347
4.23.2020,1372,820,1287,129,0.094538092,0.08527347
4.24.2020,11797,5035,39096,131,0.100129081,0.086595539
4.25.2020,1434,873,1340,131,0.104669704,0.086595539
4.26.2020,1431,874,1354,133,0.107233612,0.087917609
4.27.2020,1805,880,1408,136,0.110248038,0.089900713
4.28.2020,1805,887,1424,138,0.113824348,0.091222782
4.29.2020,1805,890,1468,141,0.116841306,0.093205886
4.30.2020,1807,906,1490,142,0.123378891,0.093866921
5.1.2020,1795,895,1499,143,0.126879271,0.094527955
5.10.2020,2351,984,1891,154,0.168494052,0.101799336
5.11.2020,2351,974,1943,155,0.171095925,0.102460371
5.12.2020,2508,978,1954,155,0.175472032,0.102460371
5.13.2020,2508,990,1977,155,0.179650721,0.102460371
5.14.2020,2508,995,1994,155,0.184252088,0.102460371
5.15.2020,2508,988,1999,155,0.189498861,0.102460371
5.16.2020,2508,978,2026,155,0.194110352,0.102460371
5.17.2020,2508,995,2054,156,0.199253354,0.103121406
5.18.2020,2678,982,2091,157,0.202900532,0.10378244
5.19.2020,2678,988,2131,158,0.20632245,0.104443475
5.2.2020,1795,904,1523,147,0.131678056,0.097172094
5.20.2020,2678,999,2179,159,0.212007087,0.10510451
5.21.2020,2678,1011,2185,159,0.217711972,0.10510451
5.22.2020,2678,1035,2198,159,0.222870159,0.10510451
5.23.2020,2678,1046,2320,159,0.228501645,0.10510451
5.24.2020,2678,1047,2350,160,0.234279929,0.105765544
5.25.2020,2678,1074,2367,160,0.238089091,0.105765544
5.26.2020,2678,1057,2386,160,0.244166034,0.105765544
5.27.2020,2678,1070,2399,161,0.25181473,0.106426579
5.28.2020,2678,1081,2408,161,0.255811187,0.106426579
5.29.2020,2809,1154,2437,163,0.262751202,0.107748648
5.3.2020,1795,906,1543,147,0.135021514,0.097172094
5.4.2020,1795,965,1602,149,0.138959757,0.098494163
5.5.2020,1795,973,1624,150,0.141442673,0.099155198
5.6.2020,1795,981,1728,154,0.147952417,0.101799336
5.7.2020,1795,999,1754,154,0.153419387,0.101799336
5.8.2020,1795,984,1806,154,0.157296887,0.101799336
5.9.2020,2351,987,1853,154,0.161478107,0.101799336
6.1.2020,2809,1154,2588,167,0.283348519,0.110392787
6.10.2020,2253,1250,2793,174,0.345940268,0.115020029
6.11.2020,2253,1274,2809,175,0.353619337,0.115681064
6.12.2020,2253,1291,2840,175,0.363044799,0.115681064
6.15.2020,2253,1295,2928,176,0.385596052,0.116342099
6.16.2020,2412,1305,2952,176,0.394143255,0.116342099
6.17.2020,2412,1353,2971,177,0.402331055,0.117003133
6.18.2020,2412,1383,2982,178,0.412042521,0.117664168
6.19.2020,2412,1450,3020,181,0.423014427,0.119647272
6.2.2020,2253,1176,2570,167,0.290389775,0.110392787
6.22.2020,2412,1499,3058,187,0.452181726,0.12361348
6.23.2020,2412,1509,3185,191,0.467641104,0.126257618
6.24.2020,2412,1569,3219,191,0.484629208,0.126257618
6.25.2020,2412,1587,3249,192,0.496137687,0.126918653
6.26.2020,2412,1692,3297,192,0.509015439,0.126918653
6.29.2020,2407,1741,3512,197,0.545398633,0.130223826
6.3.2020,2253,1200,2587,168,0.296671729,0.111053821
6.30.2020,2407,1765,3561,198,0.566049101,0.130884861
6.4.2020,2253,1223,2613,170,0.302136168,0.112375891
6.5.2020,2253,1239,2644,171,0.309273602,0.113036925
6.8.2020,2253,1225,2747,173,0.330693495,0.114358995
6.9.2020,2253,1239,2779,174,0.33868894,0.115020029
7.1.2020,2407,1765,3603,199,0.585720071,0.131545896
7.10.2020,2407,1888,4145,211,0.765588459,0.139478311
7.13.2020,2407,1888,4522,215,0.821419894,0.14212245
7.14.2020,2407,1885,4590,219,0.84372817,0.144766589
7.15.2020,2407,1877,4640,221,0.876261706,0.146088658
7.16.2020,2407,1883,4696,223,0.898215642,0.147410727
7.17.2020,2407,1895,4860,226,0.92307264,0.149393831
7.2.2020,2407,1807,3648,200,0.604102759,0.13220693
7.20.2020,2407,1916,5202,233,0.979260947,0.154021074
7.21.2020,2407,1901,5305,235,1.007010883,0.155343143
7.22.2020,2468,1889,5363,238,1.035952923,0.157326247
7.23.2020,2468,1881,5459,241,1.066276892,0.159309351
7.24.2020,2468,1888,5564,241,1.090288535,0.159309351
7.27.2020,2468,1900,5932,244,1.144743103,0.161292455
7.28.2020,2614,1901,6022,246,1.159506454,0.162614524
7.29.2020,2614,1899,6065,246,1.191500886,0.162614524
7.3.2020,2407,1860,3719,200,0.624019236,0.13220693
7.30.2020,2614,1895,6197,246,1.227317135,0.162614524
7.31.2020,2614,1895,6423,246,1.247618324,0.162614524
7.6.2020,2407,1860,3776,205,0.669908884,0.135512104
7.7.2020,2407,1860,3992,206,0.685990888,0.136173138
7.8.2020,2407,1876,4020,208,0.718835738,0.137495207
7.9.2020,2407,1873,4071,211,0.740470767,0.139478311
