date,county,rooms,rooms_occupied,rooms_available,trailers_requested,trailers_delivered,donated_trailers_delivered,cumulative_total_population_cases,cumulative_homeless_cases,cumulative_general_public_cases,total_population_by_percentage ,homless_population_by_percentage,general_public_population_by_percentage
4/15/2020,San Francisco,1012,751,261,0,0,0,987,119,868,0.111739433,1.216271464,0.09936796
4/16/2020,San Francisco,1271,748,523,0,0,0,1013,120,893,0.114682924,1.226492232,0.102229941
4/17/2020,San Francisco,1271,748,523,0,0,0,1019,123,896,0.115362191,1.257154538,0.102573378
4/18/2020,San Francisco,1271,710,561,0,0,0,1058,123,935,0.119777427,1.257154538,0.107038068
4/19/2020,San Francisco,1273,725,548,0,0,0,1137,126,1011,0.12872111,1.287816844,0.115738488
4/20/2020,San Francisco,1273,718,555,0,0,0,1157,127,1030,0.130985333,1.298037612,0.117913593
4/21/2020,San Francisco,1273,737,536,0,0,0,1216,128,1088,0.137664793,1.308258381,0.124553388
4/22/2020,San Francisco,1328,729,599,0,0,0,1231,129,1102,0.139362961,1.31847915,0.126156097
4/23/2020,San Francisco,1328,809,519,91,59,0,1233,129,1104,0.139589383,1.31847915,0.126385055
4/24/2020,San Francisco,1434,864,570,91,91,0,1302,131,1171,0.147400954,1.338920687,0.134055163
4/25/2020,San Francisco,1434,873,561,91,91,0,1340,131,1209,0.151702979,1.338920687,0.138405373
4/26/2020,San Francisco,1431,874,557,91,91,0,1354,133,1221,0.153287936,1.359362224,0.139779124
4/27/2020,San Francisco,1805,880,925,91,91,0,1408,136,1272,0.159401339,1.39002453,0.145617564
4/28/2020,San Francisco,1805,887,918,91,91,0,1424,138,1286,0.161212718,1.410466067,0.147220273
4/29/2020,San Francisco,1805,890,915,91,91,0,1468,141,1327,0.16619401,1.441128373,0.151913921
4/30/2020,San Francisco,1807,906,901,91,91,0,1490,142,1348,0.168684656,1.451349141,0.154317984
5/1/2020,San Francisco,1795,895,900,91,91,0,1499,143,1356,0.169703557,1.46156991,0.155233818
5/2/2020,San Francisco,1795,904,891,91,91,0,1523,147,1376,0.172420625,1.502452984,0.157523402
5/3/2020,San Francisco,1795,906,889,91,91,0,1543,147,1396,0.174684848,1.502452984,0.159812987
5/4/2020,San Francisco,1795,965,830,91,91,0,1602,149,1453,0.181364308,1.522894522,0.166338302
5/5/2020,San Francisco,1795,973,822,91,91,0,1624,150,1474,0.183854954,1.53311529,0.168742366
5/6/2020,San Francisco,1795,981,814,91,91,0,1728,154,1574,0.195628916,1.573998365,0.180190287
5/7/2020,San Francisco,1795,999,796,91,91,0,1754,154,1600,0.198572407,1.573998365,0.183166747
5/8/2020,San Francisco,1795,984,811,91,91,0,1806,154,1652,0.204459388,1.573998365,0.189119666
5/9/2020,San Francisco,2351,987,1364,91,91,0,1853,154,1699,0.209780314,1.573998365,0.194500189
5/10/2020,San Francisco,2351,984,1367,91,91,0,1891,154,1737,0.214082338,1.573998365,0.1988504
